location,price,room,area
Жамбыла 38,12500000,1,41.
Бокина 27,12326400,2,38.
Бокина 27,13170000,2,38.
Лермонтова 45,24999000,2,42 
Шаяхметова 42 — Нуртазина,15500000,2,37 
Бокина 3 — Шаяхметова,16000000,2,50 
Абай 88/4,35000000,3,75 
Нуртазина,20500000,3,59 
Карасай батыра 26,21000000,3,68.
Рыскулова 83/2 — Кунаева-Рыскулова,10500000,2,38.
Нұртазин 16 — Абай мен Бокин көшелерінің ортасы,17000000,2,49 
Жамбыла 32 — ЖК Алтын бекет,22000000,2,43 
Павлова 13а,24000000,2,50 
Гагарина 102 — Напротив акимат,17500000,3,58 
Бокина 24,22500000,3,58.
Павлова 18 — Павлова,31000000,3,80 
Светлова 9а — Стадион,19000000,2,52 
Нуртазина 10,16500000,2,45 
Карасай Батыра 40 — Магазин Елена,16500000,2,46 
Менделеева 20 — Карасай батыра,16000000,2,35 
Павлова 13 А,23000000,2,42 
Павлова,15500000,1,35 
Мусрепова 57/1,19999990,2,66.
Карасай батыра,11500000,1,34 
Рыскулова 72,24000000,2,48 
Мелиоратор 4,28000000,3,65 
Нуртазина,24000000,2,52 
Абылай хан 205,24000000,3,58 
Мусрепова,10000000,1,38.
Конаева 209 — Тазалайк автомойкага карама карсы,14000000,1,39.
Чайковского 1 а,17000000,2,52 
Мелиоратор 26 — Рядом с домом дорога на Акбулак,35000000,3,66.
Карасай батыр,25000000,4,68.
Шата руставели 3,37000000,3,77 
Кунаева 168,25000000,3,65 
Рыскулова 72 — Гагарина,20000000,2,41 
Карасай батыра — Автобаза,23000000,3,73 
Абылайхана 203а,22000000,2,52 
Лермонтова 52А,16000000,1,46.
Сатпаева 1,11900000,2,52 
Лермонтова 55,30000000,3,90 
Карасай Батыр 54,27000000,3,75.
Карасай батыра 26 — Менделеева,24000000,4,86 
Мкр.Мелиаратор — Абая,22000000,2,55 
Мелиоратор 9,20000000,2,54 
ул Кастеева 5,18500000,2,51.
Ахметова 30,13500000,1,33.
Нуртазина 14,23000000,2,51 
Абая,23500000,3,70 
Менделеева,19000000,3,69 
Карасай батыра,24000000,3,69 
Микрорайон Мелиоратор 11,31000000,4,82.
Суюнбая 6,18000000,3,53 
Менделеева 8а 8 — Алтынсарина,19000000,3,69 
Нуртазина 25 — Лермонтова,26500000,3,90 
Нуртазина 31,19000000,2,52 
Абая 72,23000000,3,61.
Нуртазина 31,21000000,2,52.
Бокина — Район цон,26000000,3,60 
Абая — Мелиоратор,26500000,3,65 
Менделеева — Карасай батыра,17000000,2,44.
Мусрепова,35000000,3,92 
Мелиоратор 2,22600000,2,55.
Карасай батыра 50,21300000,3,56 
Руставели 3 — Возле супермаркета Марина,27000000,3,72 
Рыскулова 66 — Акимат,8000000,1,18 
Мусрепова 27/1 — Жк Алтын Бекет,16500000,2,44.
Мусрепова 57,2245000,2,45.
Абылайхана 205А,19300000,2,43.
Карасай батыра 26 — Менделеева,25000000,3,60 
Автобаза карасай батыра 18а 18а — Транспортная,22000000,2,64 
ЖК АЛТЫН БЕКЕТ,13200000,2,45 
Карасайбатыр 34 — Менделеева,14500000,1,39 
Бокина,16000000,2,40 
Конаева 166 — Шашлычного ценра,23000000,2,52.
Мусрепова 57/1,3000000,2,46.
Павлова 13,24000000,2,49 
Чайковского 1а,20000000,3,54 
Мусрепова 1 — Павлова,10653000,1,40.
Павлова 1 — Муратбаева,12253000,1,40.
Абылайхана 205 а,13000000,2,45 
Ж.К Алтын бекет 4 — Возле новой больницы и Сш 7,22000000,2,66.
Мелиоратор 5,18000000,1,39 
Бокина,20000000,3,62.
Лермонтова — Абая,20000000,2,44.
Бокина 24,16500000,2,44.
Мелиоратор 22/20 — Выше Абая,25000000,2,58.
Карасай батыра 54Б,36000000,3,77 
Абая 88/4,27000000,3,75 
Жамбыла 38,21000000,1,41.
Кунаева — Бедренко,22500000,3,66 
Карасай батыра 22а,20000000,3,60 
Менделеева — Карасай-батыра,21000000,3,65 
Муратбаев 31/1 — Муратбаева-Павлова,32000000,3,69.
Мұратбаев 31,25000000,3,68 
Бокина,30000000,2,70 
Кашкари 16 — ЭРТС,12500000,1,37 
Нуртазина 23,21000000,2,51 
Карасай батыра,23000000,3,64 
Карасай батыра 22А — Рыскулова,19000000,2,45.
Муратбаева 31,23500000,2,49.
Конаева,13000000,2,38 
Абая 83,17000000,1,36 
Мендилеева 15 — Рыскулова,15000000,2,52 
Карасай батыра 54б кв11 — Район Автобаза,15000000,1,40 
Менделеева 15,20000000,2,49 
Кунаева 209,18000000,2,58 
Карасай батыра 26а — Автобаза,22500000,3,67 
ул Бокина 24 — Кунаева,24000000,2,47 
Рыскулова 257 — Возле 3го магазина,28000000,3,58 
Мусрепова 57/1,19000000,2,66.
Смыкова 53 — Кендала,10000000,1,32 
Лермонтова 52,27000000,3,90 
Тілендиев 18 — Абылай хан,7500000,1,30 
Абая 70 — 6,24500000,3,66 
Лермонтова,22500000,3,61.
Аблай-хана 203А,27000000,4,87 
Район спутник 1,18000000,2,46 
Лермонтова 47 — ул Абая,20000000,2,47 
Конаева 209,6000000,1,18.
Бокина 16,20000000,1,25 
Мелиоратор 9,35000000,3,97 
Лермонтова,22000000,1,50 
ул Бокина 13 — ЦОН,22000000,3,64 
Лермонтова — Абая,21000000,2,43.
Менделеева 12,18800000,3,53.
Абая 13,23000000,2,55 
ул Абая 83 — ул Кунаева,15000000,1,36 
Бокина 24 — Бокина Лермонтова,20000000,2,44.
Малькеева 55,27000000,3,57 
Шота Руставели,27000000,2,54 
Абая 116 А,25000000,2,63 
Махмута Кашкари 16,11000000,2,38 
Жк Достар 277А — Талгарская трасса.Мега Центр,19500000,1,38.
Абая 72,19900000,3,60.
Нуртазина 25 — Лермонтова,27500000,3,90 
Кунаева 168,22000000,2,54.
Рыскулова 259 — Менделеева,25000000,2,52.
Рыскулова 218а — Спутник магазин,27000000,3,64.
Муратбаева — Павлова,12480000,1,41.
Менделеева — Автобаза,20000000,3,63.
Менделеева дом 8а квартира 14,22000000,3,58.
Абая 118,17500000,1,39 
Абая 85,28000000,3,56.
Рыскулова 72,14000000,2,45 
Шота Руставели 3,27000000,2,54 
Бокина 24,25000000,3,58.
Карасай батыра 30,21000000,3,64.
Абая — Сзади ЦОН,35000000,3,85.
Абая — Мелиаратор,35000000,3,73 
Абая,29000000,3,74 
Рускулова 66,6500000,1,18 
Жамбыла 38,19000000,2,43 
Нуртазина 31,11000000,1,30 
Абылайхана 205А,16000000,2,42.
Миллиоратор 5,19000000,2,54 
Бокина,17000000,2,36.
Рыскулова 218а — Спутник магазин,30000000,3,57 
Рыскулова — Район спутника,20000000,3,70 
Шота Руставели 3,34000000,4,91.
Кашкари16 35,20000000,1,36.
Бокина,27000000,4,76 
Мелиоратор — Абая,24000000,3,66 
Сатпаева,11500000,3,64 
Карасай батыра 26,24000000,4,86 
Промышленная — Некрасова,13500000,1,37.
Карасай батыра 38 — Супермаркет Елена,16700000,2,48.
Ул.Рыскулова,18500000,2,45 
Центральная — Актас,12500000,2,51 
Нуртазина 31,12000000,1,30 
Мусрепова 27/1 — ЖК Altyn Beket,19000000,2,43 
Рыскулова — Напротив схт.,9500000,2,39 
Абая — Средняя школа №3,18000000,2,44.
Менделеева 17 — Карасай батыра,18000000,2,45 
Руставели 5,21000000,3,66.
Бокина — На против цона,22000000,3,61 
Кунаева — Бочка кафе шашлычная,25800000,3,65 
Карасай Батыра 28,17000000,2,47.
Мелиоратор 5,25500000,4,83 
Абылай хана — Пром,16000000,2,44 
Малькеева 55/13,25000000,3,60 
Абая 83,27000000,2,48 
Береговая 86 — Возле базара все в шаговой доступности тихий район дружелюбные соседи,12000000,2,35 
Шота Руставели 3,35000000,4,96 
Карасай Батыра 18,15490000,1,35 
Нуртазина 31 — Возле ЦОНа,21250000,1,42 
Милиоратор 9,21500000,2,56 
Нуртазина — Абая,30000000,3,59 
Абая цон 78 а — Цон город талгар,23500000,2,66 
Абая 116 В,35000000,2,62.
Жамбыла 32 — Цон,20000000,2,42 
Лермонтова — Абая,25000000,3,60 
Махмута Кашкари 7 — Емелева,15000000,2,52 
Карасай батыр — Автобаза,20500000,2,60.
Мелиоратор,21500000,2,55 
Промышленная 10 — Водоканал,17500000,2,51 
Жамбыла 38 — Рядом ЦГКБ г.Талгар,14500000,1,40 
Суюнбая — Кунаева суюнбая,8500000,1,37 
Конаева — Главный трассе Талгара 2 остановка РТС,6500000,1,19 
Нуриазина 21,20000000,2,56 
Сатпаева,23000000,2,45 
Менделеева 15,21000000,3,60 
Лермонтово 54,32500000,3,89.
Муратбаева 31 — Бозторғай мкр,25000000,3,70 
Рыскулова 66 — Акимат,7500000,1,19 
Абылай хана 205а,17000000,2,42 
Рыскулова,24000000,3,62.
Абая 70,22000000,2,46 
Карасай батыра — Автобаза,14000000,1,37.
Шаяхметова — Бокина,16500000,2,37.
Рыскулова — Менделеева,24000000,3,68 
Карасай батыра,24000000,3,69 
Суюнбая — Кунаева,13500000,2,38.
Карасай батыра 20,21800000,3,58 
Милиоратор Абай 13 — Милиоратор,20000000,2,54 
Бокина 24,19000000,3,60 
Ул.Суюнбая 3А Кв 16 — Кунаева угол Суюнбая,16500000,2,60.
Мелиоратор 26,25000000,3,67 
Бокина — Возле Налоговой,18000000,2,43 
Кендала 8,15300000,3,50 
Мкр.Мелиоратор 9 — Чешский пивовар Талгар,33000000,3,63.
Абая 85,18500000,1,35 
Ул.Мусрепова д51 4 блок,6300000,3,66.
Қарасай батыр 38,24900000,3,72 
Абылайхан — Рысқұлов,15000000,1,40 
Бокина 9 — Лермонтова,30000000,3,67 
Ахметова 31 — Карасай батыра,13700000,1,33.
Нуртазина 19/32,27000000,3,70 
Менделеева,25000000,3,64 
Менделеева — Транспортная/Менделеева,12000000,1,31 
Мусирепова 57/1,22100000,2,66.
Миллиоратор 27 — Садик дом около речки,25000000,3,65.
Абая 72,26000000,3,60.
Абая 88/1 9 — Мкр.Жаңа,30000000,2,65 
Менделеева 13,18000000,2,50 
Карасай батыра 34б,27000000,3,78 
Кунаева 166 — Абая-Кунаева,26500000,3,63 
Ахметова,21000000,2,57 
Малькеева 55 — Возле налоговой,29000000,3,60 
Махмут Кашкари 16,12000000,1,38 
Бокина 26 — Возле налоговой,20000000,2,56 
Мелиоратор 5 — По Абая чуть выше Кунаева,35000000,3,73 
Рыскулова 86 — Дом Культуры,12000000,2,35 
Карасай батырв 30,16000000,2,50.
Нуртазина 31,25000000,2,57.
Конаева — Абая,19999999,2,57.
Светлова 9 — Ш.Руставелли,23000000,3,67.
Менделеева,22000000,3,57 
Чайковского 1 А,20000000,3,56 
РТС 209 — Главный трассе Талгара вторая остановка РТС,6500000,1,18 
Абая 87 — Школа 3 цон,30000000,3,60 
Нажмидинова,6500000,2,25.
Абая 80,35000000,3,96 
Бокина 12 — Центр ,13000000,3,44.
Нуртазина 23,21000000,2,54 
Рыскулова 261 — Менделеева,32000000,4,86 
Бокина 15 — Налоговой,22000000,3,64 
Нуртазина 31 — Талгар за цоном,19900000,2,52.
Қарасай батыр 52 — Автобаза,28500000,3,75.
Карасай Батыра — Менделеева,11500000,1,37 
Малькеева,26000000,3,60 
Карасай Батыра 26 — Автобаза район,25000000,3,61 
Кунаева 166 — Кунаева Абая,26000000,3,65 
Жамбыла 38,21500000,1,41.
Лермонтова 55  /8,32900000,3,90 
Асан Кайгы 8а — Асфендиярова,11500000,2,35 
Кунаева 166 — Кунаева - Абая,22000000,2,52.
Кунаева 164,30000000,3,65.
Сады Алатау,37830188,2,70.
Абая 78 А,24500000,2,57.
Менделеева 15 — Карасай батыра,28000000,3,78 
Курлысшы 1 — Мкр курлысшы,40000000,5,132
Менделеева — Автобаза,25000000,2,44.
улица Лермонтова 54 — Бокина,30000000,3,91.
Абая 85 — Абая/Кунаева,22000000,2,47 
Нуртазина 25,18000000,1,47.
Бокина 20 — Выше налоговой,16500000,2,36 
Нуртазина 31 — Цон,45000000,3,102
Гагарина 102 — Д. Кунаева,15000000,2,46.
Абая 80,20000000,1,47 
Карасай батыра,23000000,3,66.
Карасай  батыра 22,23500000,3,70 
Мусрепова 57/1,10000000,1,38.
Рыскулова 189,20000000,2,51 
Абая 83,22000000,2,50 
Мусрепова 57/1,19000000,2,42 
ул. Абая,26000000,2,61.
Кунаева 167 — Рядоместьсон,30000000,3,63 
М Қашқари 20 — Возле бывшего колледжа им Д.А.Кунаева,8500000,2,25 
Чайковского 1а — Рыскулова,21499449,2,50 
Нуртазина 31,22500000,2,61.
Нуртазина 21,23000000,2,52.
Менделеева 15,23000000,3,63 
Нуртазина 31 — Район ЦОНа,18500000,2,44.
Абая 72 — Цон,16300000,1,30 
Ахметова 29,22000000,2,60 
Бокина 3,13800000,1,31 
Гагарина 102 — Акимата,14500000,2,47 
Менделеева 13,18000000,2,48 
Менделеева,17500000,2,40 
Абая 87,20000000,2,54 
Лермонтова — Уг.улицы Абая,31000000,3,67.
Нуртазина 31 — Грушевая Лермонтова,14600000,1,36 
Нуртазина,28500000,2,47 
Абая 87,19990000,2,56 
Рыскулова 257,21000000,3,58.
Муратбаева 31 — Район новой больницы,24000000,2,54 
Мусрепова 51/7 — Новый жилой комплекс. Алтын Бекет. находится чуть выше Новой больнице.,2200000,2,41.
Абая 78а — Цон,30000000,2,60 
Нуртазина 23 — ул. Лермонтова ( ЦОН),25000000,2,53 
Менделеева 17 — Қарасай батыр,21500000,3,61.
Менделеева 18,16000000,3,52 
Қарасай батыр 40,20000000,2,47.
Карасай батыра 26,22000000,4,70 
Нуртазина 31,30000000,2,62.
Абая 80 — ул. Абая,32000000,3,85.
Лермонтова 55,21000000,1,50 
Кастеева 5,26000000,3,87 
Лермонтова 52 — Цон,16000000,1,48 
М.Қашқари 16,19500000,3,75.
